ps	codeGained	ps_name_gained	gained_clusters	gained_genes	codeLost	ps_name_lost	lost_clusters	lost_genes	cval	spec_code
7	158	node7	4311	138045	158	node7	42	325	11	18
8	159	node8	4313	71478	159	node8	472	11227	11	18
9	160	node9	212	2197	160	node9	4810	136631	11	18
10	161	node10	459	4811	161	node10	409	17110	11	18
11	162	node11	101	1876	162	node11	1256	29240	11	18
12	163	node12	172	2106	163	node12	360	10342	11	18
13	164	node13	720	11863	164	node13	600	25941	11	18
14	165	node14	370	3390	165	node14	1347	38830	11	18
15	166	node15	116	1621	166	node15	2128	57166	11	18
16	167	node16	382	3851	167	node16	419	8782	11	18
17	177	node26	70	433	177	node26	2631	90419	11	18
18	178	node27	38	380	178	node27	1111	64182	11	18
19	179	node28	573	4027	179	node28	511	43288	11	18
20	181	node30	651	2852	181	node30	535	22982	11	18
21	182	node31	361	1337	182	node31	242	15714	11	18
22	18	Hame	3034	4656	18	Hame	1385	146414	11	18
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	19
2	152	node1	2647	391089	NA	NA	NA	NA	11	19
3	154	node3	667	99502	154	node3	51	441	11	19
4	155	node4	515	51497	155	node4	20	120	11	19
5	156	node5	2349	135569	156	node5	14	94	11	19
6	157	node6	666	31539	157	node6	241	1947	11	19
7	158	node7	4311	138045	158	node7	42	325	11	19
8	159	node8	4313	71478	159	node8	472	11227	11	19
9	160	node9	212	2197	160	node9	4810	136631	11	19
10	161	node10	459	4811	161	node10	409	17110	11	19
11	162	node11	101	1876	162	node11	1256	29240	11	19
12	163	node12	172	2106	163	node12	360	10342	11	19
13	164	node13	720	11863	164	node13	600	25941	11	19
14	165	node14	370	3390	165	node14	1347	38830	11	19
15	166	node15	116	1621	166	node15	2128	57166	11	19
16	167	node16	382	3851	167	node16	419	8782	11	19
17	177	node26	70	433	177	node26	2631	90419	11	19
18	178	node27	38	380	178	node27	1111	64182	11	19
19	179	node28	573	4027	179	node28	511	43288	11	19
20	181	node30	651	2852	181	node30	535	22982	11	19
21	19	Pchi	2008	2646	19	Pchi	1302	101356	11	19
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	20
2	152	node1	2647	391089	NA	NA	NA	NA	11	20
3	154	node3	667	99502	154	node3	51	441	11	20
4	155	node4	515	51497	155	node4	20	120	11	20
5	156	node5	2349	135569	156	node5	14	94	11	20
6	157	node6	666	31539	157	node6	241	1947	11	20
7	158	node7	4311	138045	158	node7	42	325	11	20
8	159	node8	4313	71478	159	node8	472	11227	11	20
9	160	node9	212	2197	160	node9	4810	136631	11	20
10	161	node10	459	4811	161	node10	409	17110	11	20
11	162	node11	101	1876	162	node11	1256	29240	11	20
12	163	node12	172	2106	163	node12	360	10342	11	20
13	164	node13	720	11863	164	node13	600	25941	11	20
14	165	node14	370	3390	165	node14	1347	38830	11	20
15	166	node15	116	1621	166	node15	2128	57166	11	20
16	167	node16	382	3851	167	node16	419	8782	11	20
17	177	node26	70	433	177	node26	2631	90419	11	20
18	184	node33	508	1763	184	node33	2689	220274	11	20
19	20	Eaff	4020	6997	20	Eaff	763	82063	11	20
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	21
2	152	node1	2647	391089	NA	NA	NA	NA	11	21
3	154	node3	667	99502	154	node3	51	441	11	21
4	155	node4	515	51497	155	node4	20	120	11	21
5	156	node5	2349	135569	156	node5	14	94	11	21
6	157	node6	666	31539	157	node6	241	1947	11	21
7	158	node7	4311	138045	158	node7	42	325	11	21
8	159	node8	4313	71478	159	node8	472	11227	11	21
9	160	node9	212	2197	160	node9	4810	136631	11	21
10	161	node10	459	4811	161	node10	409	17110	11	21
11	162	node11	101	1876	162	node11	1256	29240	11	21
12	163	node12	172	2106	163	node12	360	10342	11	21
13	164	node13	720	11863	164	node13	600	25941	11	21
14	165	node14	370	3390	165	node14	1347	38830	11	21
15	166	node15	116	1621	166	node15	2128	57166	11	21
16	167	node16	382	3851	167	node16	419	8782	11	21
17	177	node26	70	433	177	node26	2631	90419	11	21
18	184	node33	508	1763	184	node33	2689	220274	11	21
19	21	Tcal	1760	2352	21	Tcal	1306	174326	11	21
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	22
2	152	node1	2647	391089	NA	NA	NA	NA	11	22
