representative	minTaxID
pid|0000000000000652493|tx|65|	10000001
pid|0000000000006512139|tx|65|	10000001
pid|0000000000000653491|tx|65|	10000001
pid|0000000000000651872|tx|65|	10000001
pid|0000000000000065302|tx|65|	10000001
pid|0000000000006513225|tx|65|	10000001
pid|0000000000000656747|tx|65|	10000001
pid|0000000000000065542|tx|65|	10000001
pid|0000000000011312171|tx|113|	10000001
pid|0000000000000065242|tx|65|	10000001
pid|0000000000011312401|tx|113|	10000001
pid|0000000000000654096|tx|65|	10000001
pid|0000000000006511091|tx|65|	10000001
pid|0000000000011318191|tx|113|	10000001
pid|0000000000000065596|tx|65|	10000001
pid|0000000000000651233|tx|65|	10000001
pid|0000000000006512216|tx|65|	10000001
pid|0000000000000657849|tx|65|	10000001
pid|0000000000000651295|tx|65|	10000001
pid|0000000000000659553|tx|65|	10000001
pid|0000000000000065764|tx|65|	10000001
pid|0000000000000652533|tx|65|	10000001
pid|0000000000006510449|tx|65|	10000001
pid|0000000000000654134|tx|65|	10000001
pid|0000000000000065351|tx|65|	10000001
pid|0000000000000065535|tx|65|	10000001
pid|0000000000000658170|tx|65|	10000001
pid|0000000000000654033|tx|65|	10000001
pid|0000000000006513432|tx|65|	10000001
pid|0000000000000651584|tx|65|	10000001
pid|0000000000000652769|tx|65|	10000001
pid|0000000000000653909|tx|65|	10000001
pid|0000000000006511030|tx|65|	10000001
pid|0000000000000065698|tx|65|	10000001
pid|0000000000000652825|tx|65|	10000001
pid|0000000000000658651|tx|65|	10000001
pid|0000000000000652008|tx|65|	10000001
pid|0000000000000659302|tx|65|	10000001
pid|0000000000000065110|tx|65|	10000001
pid|0000000000000652195|tx|65|	10000001
pid|0000000000000651112|tx|65|	10000001
pid|0000000000000651726|tx|65|	10000001
pid|0000000000000656450|tx|65|	10000001
pid|0000000000006511179|tx|65|	10000001
pid|0000000000000065724|tx|65|	10000001
pid|0000000000000651945|tx|65|	10000001
pid|0000000000000653613|tx|65|	10000001
pid|0000000000000065163|tx|65|	10000001
pid|0000000000000656840|tx|65|	10000001
pid|0000000000000653031|tx|65|	10000001
pid|0000000000000654535|tx|65|	10000001
pid|0000000000006511881|tx|65|	10000001
pid|0000000000006511750|tx|65|	10000001
pid|0000000000000659713|tx|65|	10000001
pid|0000000000000652320|tx|65|	10000001
pid|0000000000000657549|tx|65|	10000001
pid|0000000000006518520|tx|65|	10000001
pid|0000000000000065453|tx|65|	10000001
pid|0000000000000652581|tx|65|	10000001
pid|0000000000000065856|tx|65|	10000001
pid|0000000000006510344|tx|65|	10000001
pid|0000000000000656819|tx|65|	10000001
pid|0000000000006513640|tx|65|	10000001
pid|0000000000006512929|tx|65|	10000001
pid|0000000000000651041|tx|65|	10000001
pid|0000000000006514833|tx|65|	10000001
pid|0000000000000065111|tx|65|	10000001
pid|0000000000000652516|tx|65|	10000001
pid|0000000000000657799|tx|65|	10000001
pid|0000000000000065683|tx|65|	10000001
pid|0000000000000653682|tx|65|	10000001
pid|0000000000000065794|tx|65|	10000001
pid|0000000000000652353|tx|65|	10000001
pid|0000000000000654235|tx|65|	10000001
pid|0000000000000656975|tx|65|	10000001
pid|0000000000000651098|tx|65|	10000001
pid|0000000000000656417|tx|65|	10000001
pid|0000000000000065717|tx|65|	10000001
pid|0000000000000654852|tx|65|	10000001
pid|0000000000006512186|tx|65|	10000001
pid|0000000000006515848|tx|65|	10000001
pid|0000000000000651256|tx|65|	10000001
pid|0000000000006514176|tx|65|	10000001
pid|0000000000000652191|tx|65|	10000001
pid|0000000000000656611|tx|65|	10000001
pid|0000000000000655583|tx|65|	10000001
pid|0000000000000653746|tx|65|	10000001
pid|0000000000000653912|tx|65|	10000001
pid|0000000000000658395|tx|65|	10000001
pid|0000000000000065420|tx|65|	10000001
pid|0000000000006512605|tx|65|	10000001
pid|0000000000000652339|tx|65|	10000001
pid|0000000000000656910|tx|65|	10000001
pid|0000000000001139393|tx|113|	10000001
pid|0000000000000652247|tx|65|	10000001
pid|0000000000000659776|tx|65|	10000001
pid|0000000000006514602|tx|65|	10000001
pid|0000000000000655915|tx|65|	10000001
pid|0000000000000654044|tx|65|	10000001
pid|0000000000000654818|tx|65|	10000001
pid|0000000000000653411|tx|65|	10000001
pid|0000000000000653488|tx|65|	10000001
pid|0000000000000654419|tx|65|	10000001
pid|0000000000000652065|tx|65|	10000001
pid|0000000000000654494|tx|65|	10000001
pid|0000000000000655130|tx|65|	10000001
pid|0000000000006511509|tx|65|	10000001
pid|0000000000000652793|tx|65|	10000001
pid|0000000000006515439|tx|65|	10000001
pid|0000000000006512157|tx|65|	10000001
pid|0000000000000065333|tx|65|	10000001
pid|0000000000000065536|tx|65|	10000001
pid|0000000000000653342|tx|65|	10000001
pid|0000000000000065931|tx|65|	10000001
pid|0000000000006511753|tx|65|	10000001
pid|0000000000000065202|tx|65|	10000001
pid|0000000000000652442|tx|65|	10000001
pid|0000000000006512153|tx|65|	10000001
pid|0000000000000651449|tx|65|	10000001
pid|0000000000000652800|tx|65|	10000001
pid|0000000000000651535|tx|65|	10000001
pid|0000000000000652623|tx|65|	10000001
pid|0000000000000655819|tx|65|	10000001
pid|0000000000000065505|tx|65|	10000001
pid|0000000000000658560|tx|65|	10000001
pid|0000000000000652881|tx|65|	10000001
pid|0000000000001137136|tx|113|	10000001
pid|0000000000000652060|tx|65|	10000001
pid|0000000000000652850|tx|65|	10000001
pid|0000000000000651840|tx|65|	10000001
pid|0000000000000065152|tx|65|	10000001
pid|0000000000000655724|tx|65|	10000001
pid|0000000000000658343|tx|65|	10000001
pid|0000000000006510733|tx|65|	10000001
pid|0000000000000006545|tx|65|	10000001
pid|0000000000000065166|tx|65|	10000001
pid|0000000000000065969|tx|65|	10000001
pid|0000000000000651996|tx|65|	10000001
pid|0000000000000658434|tx|65|	10000001
pid|0000000000000654232|tx|65|	10000001
pid|0000000000006512880|tx|65|	10000001
pid|0000000000000651406|tx|65|	10000001
pid|0000000000000651756|tx|65|	10000001
pid|0000000000000652673|tx|65|	10000001
pid|0000000000000653081|tx|65|	10000001
pid|0000000000000065216|tx|65|	10000001
pid|0000000000000652833|tx|65|	10000001
pid|0000000000000652757|tx|65|	10000001
pid|0000000000000652990|tx|65|	10000001
pid|0000000000000654298|tx|65|	10000001
pid|0000000000000065147|tx|65|	10000001
pid|0000000000000652502|tx|65|	10000001
pid|0000000000000655099|tx|65|	10000001
pid|0000000000000657827|tx|65|	10000001
pid|0000000000006517696|tx|65|	10000001
pid|0000000000000065177|tx|65|	10000001
pid|0000000000000653259|tx|65|	10000001
pid|0000000000000659107|tx|65|	10000001
